comparison,Accession,pval,std_error,diff,missingness,n_obs,adj_pval
5_vs_CTR,Q15154,1.0157289145443782e-5,0.10157039746500192,-3.7398530643671073,MAR,6,0.028318522137497262
5_vs_CTR,Q6P6C2,5.739868356310279e-4,0.3323960686757648,-4.248907468251943,MAR,6,0.7445213017382846
5_vs_CTR,Q96KG9,0.0011329939691363986,0.17772675967974885,-1.6321773017114083,MAR,6,0.7445213017382846
5_vs_CTR,Q9BXS4,0.0012491946758066944,0.8067022763116483,6.7520360255474845,MNAR,6,0.7445213017382846
5_vs_CTR,Q96GD0,0.0014123915783559376,0.39593581608611395,4.474155322915893,MNAR,6,0.7445213017382846
5_vs_CTR,P30622; Q9UDT6,0.0017472452836494287,0.39081503439098614,-4.1966423579740315,MAR,6,0.7445213017382846
5_vs_CTR,Q9HCC0,0.001922761323260527,0.2918451292710379,2.168774881397564,complete,6,0.7445213017382846
5_vs_CTR,Q7LG56,0.0023661885052901487,1.5885579153858904,11.439561702079745,MNAR,6,0.7445213017382846
5_vs_CTR,Q9P2P6; Q9NWU5,0.0025124667902288044,0.28130513411468083,-2.256145553181515,MAR,6,0.7445213017382846
5_vs_CTR,Q15262,0.0026704494323467882,0.316072825624607,3.593832215645655,complete,6,0.7445213017382846
1.5_vs_CTR,Q9P2P6; Q9NWU5,9.253709248252112e-4,0.16882559403263134,-2.3796479979752867,MAR,6,0.7962213065114113
1.5_vs_CTR,P61006; P51153; Q92930,0.001065740797100011,0.5649127342986128,-5.440928014814377,MNAR,6,0.7962213065114113
1.5_vs_CTR,P33992,0.001228874540452462,0.22823163321670903,2.495512727431212,complete,6,0.7962213065114113
1.5_vs_CTR,Q9NVS2,0.0012894060744869616,0.46424519693822947,-3.7436462546362677,MAR,6,0.7962213065114113
1.5_vs_CTR,Q14696,0.0015639319803202535,0.17301126859163415,-2.054009277045431,complete,6,0.7962213065114113
1.5_vs_CTR,Q9Y4P3,0.0019102416960000421,0.909164706911099,8.315680146614385,MNAR,6,0.7962213065114113
1.5_vs_CTR,Q01804,0.0020852408408774505,0.3623167871893251,2.8865522403870028,MNAR,6,0.7962213065114113
1.5_vs_CTR,P62487,0.0024261706554309305,0.33103467230871314,2.5719628901375238,MAR,6,0.7962213065114113
1.5_vs_CTR,O95400,0.002612012778584661,0.4633162919842603,3.094729617827884,MNAR,6,0.7962213065114113
1.5_vs_CTR,P53384,0.0028224789312705115,0.44628612564898923,5.188183257721709,MNAR,6,0.7962213065114113
5_vs_CTR,Q09028,0.0036576037444925624,0.4117399088931301,-2.7793168401757953,complete,6,0.8524512407489144
5_vs_CTR,P28065,0.004621516738815666,0.21129573894995887,1.2193043629089502,MAR,6,0.8524512407489144
5_vs_CTR,Q13112,0.005110074433852035,0.2766358947861429,2.953687601776373,MAR,6,0.8524512407489144
5_vs_CTR,O95292; Q9P0L0,0.005216239044539286,0.8487665442077335,5.731988693534092,MNAR,6,0.8524512407489144
5_vs_CTR,Q6NUK1,0.005722709651098754,0.5714105461270076,3.371654343151942,MNAR,6,0.8524512407489144
5_vs_CTR,Q9UBI6,0.006002172800265601,0.5930133846651081,-5.813065340027386,MAR,6,0.8524512407489144
5_vs_CTR,Q96BR5,0.0063162440071264985,0.17419710453215298,1.9614387875831802,MAR,6,0.8524512407489144
5_vs_CTR,P14625,0.006393882427909674,0.44065047566886395,-3.30729196829963,complete,6,0.8524512407489144
5_vs_CTR,P00568,0.006546825584102246,0.46393381004973744,2.7262360417736495,MAR,6,0.8524512407489144
5_vs_CTR,O95785,0.006657496745272512,0.8243579931035356,-5.285381355357288,MAR,6,0.8524512407489144
5_vs_CTR,Q96RQ3,0.006794826666406277,0.4302458718131844,-2.497020043063788,MAR,6,0.8524512407489144
5_vs_CTR,Q9UPN3,0.007741795134067753,1.1171185152929037,5.600394970794104,MNAR,6,0.8524512407489144
5_vs_CTR,O75886; Q92783,0.00785050011939759,0.3416153486697376,1.6871410636529696,complete,6,0.8524512407489144
5_vs_CTR,Q9ULV4,0.007913957698828689,0.381828099535009,-2.7183710868740434,complete,6,0.8524512407489144
5_vs_CTR,Q96EK6,0.008015321968224406,0.2727734198423521,2.300366870063929,complete,6,0.8524512407489144
5_vs_CTR,Q6NYC8,0.008501524533353523,1.0411104299710905,-5.38383191766933,complete,6,0.8524512407489144
5_vs_CTR,Q9BT09,0.008997749621399083,0.23966293161392468,1.1792840886635112,complete,6,0.8524512407489144
5_vs_CTR,O15145,0.009155484817355005,0.6013942750260187,-3.5760533490603628,complete,6,0.8524512407489144
5_vs_CTR,Q9NQT4,0.009205540007122886,0.36156876359340884,2.263015510199711,complete,6,0.8524512407489144
5_vs_CTR,P02533,0.009947467140404403,1.1398668589764682,5.75900965975606,MNAR,6,0.8524512407489144
1.5_vs_CTR,Q86VI4,0.00433373498470478,0.9458071620112973,5.522000015274333,MNAR,6,0.866369005020658
1.5_vs_CTR,Q9P2W1,0.004957458809952575,0.7703172563909599,-5.028106805483066,MAR,6,0.866369005020658
1.5_vs_CTR,Q8N335,0.005176882531400189,0.27454413595143334,-3.0989063972881112,complete,6,0.866369005020658
1.5_vs_CTR,Q99829,0.005373267761515461,0.7235378680242727,-4.409884251026551,complete,6,0.866369005020658
1.5_vs_CTR,Q96FK6,0.005414789027974334,0.5641845238694948,3.7349386932850237,MNAR,6,0.866369005020658
1.5_vs_CTR,Q96T58,0.005759985006467345,0.9468753194423754,-5.224400359599166,MAR,6,0.866369005020658
1.5_vs_CTR,Q14331,0.005966096010490035,0.8328089307463448,-4.528622472052465,MNAR,6,0.866369005020658
1.5_vs_CTR,O95785,0.007514042139489043,0.7906001372554357,-5.519719434518652,MAR,6,0.866369005020658
1.5_vs_CTR,Q8N183,0.00896170909246913,0.49061931199137265,-2.9480838884086644,MAR,6,0.866369005020658
1.5_vs_CTR,Q9NR31,0.009477637755418364,1.486912825266175,6.957852194910217,MNAR,6,0.866369005020658
1.5_vs_CTR,Q86W56,0.009707364336188455,0.7695111178298077,6.3985458803551705,MNAR,6,0.866369005020658
